measurementId,elapsedSeconds,outsideTemperatureC,cabinSensorMedianC
393,5423.520368947,29.906959188,39.133890771
394,5437.355880092,29.906959188,39.133890771
395,5451.191391238,29.966959188,39.133890771
396,5465.026902383,30.086959188,39.133890771
397,5478.862413528,30.086959188,39.073890771
398,5492.697924673,30.086959188,39.073890771
399,5506.533435819,30.086959188,39.013890771
400,5520.368946964,30.216959188,39.013890771
401,5534.204458109,30.216959188,39.013890771
402,5548.039969254,30.216959188,39.013890771
403,5561.875480400,30.156959188,38.943890771
404,5575.710991545,30.156959188,39.013890771
405,5589.546502690,30.156959188,39.013890771
406,5603.382013836,30.086959188,38.943890771
407,5617.217524981,30.086959188,38.943890771
408,5631.053036126,30.086959188,38.943890771
409,5644.888547271,30.086959188,38.883890771
410,5658.724058417,30.086959188,38.943890771
411,5672.559569562,30.026959188,38.883890771
412,5686.395080707,30.026959188,38.883890771
413,5700.230591852,30.026959188,38.883890771
414,5714.066102998,29.966959188,38.883890771
415,5727.901614143,30.026959188,38.883890771
416,5741.737125288,30.086959188,38.883890771
417,5755.572636434,30.156959188,38.883890771
418,5769.408147579,30.276959188,38.883890771
419,5783.243658724,30.216959188,38.883890771
420,5797.079169869,30.156959188,38.883890771
421,5810.914681015,30.086959188,38.883890771
422,5824.750192160,30.156959188,38.823890771
423,5838.585703305,30.026959188,38.823890771
424,5852.421214450,30.026959188,38.823890771
425,5866.256725596,29.966959188,38.823890771
426,5880.092236741,30.026959188,38.823890771
427,5893.927747886,29.966959188,38.823890771
428,5907.763259032,29.906959188,38.763890771
429,5921.598770177,29.836959188,38.823890771
430,5935.434281322,29.836959188,38.823890771
431,5949.269792467,29.966959188,38.763890771
432,5963.105303613,29.966959188,38.823890771
433,5976.940814758,29.966959188,38.763890771
434,5990.776325903,29.966959188,38.763890771
435,6004.611837048,30.026959188,38.763890771
436,6018.447348194,30.026959188,38.763890771
437,6032.282859339,30.026959188,38.693890771
438,6046.118370484,30.086959188,38.693890771
